,date,web-link,text,Year,Month
113,2024-12-27,?id22=667647,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-599-01326-B-001P",2024,12
114,2024-12-27,?id22=667645,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-598-01326-B-001P",2024,12
115,2024-12-27,?id22=667643,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-597-01326-B-001P",2024,12
116,2024-12-27,?id22=667641,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-596-01326-B-001P",2024,12
117,2024-12-27,?id22=667639,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-595-01326-B-001P",2024,12
118,2024-12-27,?id22=667637,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-594-01326-B-001P",2024,12
119,2024-12-27,?id22=667635,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-593-01326-B-001P",2024,12
120,2024-12-27,?id22=667633,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-592-01326-B-001P",2024,12
121,2024-12-27,?id22=667631,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-869-01000-B-005P",2024,12
122,2024-12-26,?id22=667627,"О присвоении ISIN кода облигациям ООО ""Совкомбанк Факторинг"", выпуск 4B02-01-00710-R-001P",2024,12
123,2024-12-26,?id22=667625,"О присвоении ISIN кода облигациям ООО ""Совкомбанк Лизинг"", выпуск 4B02-08-00303-R-001P",2024,12
124,2024-12-26,?id22=667619,"О присвоении ISIN кода облигациям ООО ВТБ Факторинг, выпуск 4B02-01-00204-L",2024,12
125,2024-12-26,?id22=667617,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-868-01000-B-005P",2024,12
126,2024-12-25,?id22=667611,"О присвоении ISIN кода облигациям ПАО ""Группа Позитив"", выпуск 4B02-02-85307-H-001P",2024,12
127,2024-12-25,?id22=667609,"О присвоении ISIN кода облигациям ООО ""РЕСО-Лизинг"", выпуск 4B02-23-36419-R-001P",2024,12
128,2024-12-25,?id22=667607,"О присвоении ISIN кода облигациям ООО ""Новые технологии"", выпуск 4B02-01-00069-L-001P",2024,12
129,2024-12-25,?id22=667605,"О присвоении ISIN кода облигациям ООО ""Новые технологии"", выпуск 4B02-02-00069-L-001P",2024,12
130,2024-12-25,?id22=667603,"О присвоении ISIN кода облигациям ПАО ""МТС"", выпуск 4CDE-02-04715-A-001P",2024,12
131,2024-12-25,?id22=667601,"О присвоении ISIN кода облигациям ПАО ""Кокс"", выпуск 4B02-01-10799-F-001P",2024,12
132,2024-12-25,?id22=667599,"О присвоении ISIN кода облигациям ООО ""ИКС 5 ФИНАНС"", выпуск 4B02-07-36241-R-003P",2024,12
133,2024-12-25,?id22=667597,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-867-01000-B-005P",2024,12
134,2024-12-24,?id22=667593,"О присвоении ISIN кода облигациям ООО ""СФО Силуэт"", выпуск 6-01-00844-R",2024,12
135,2024-12-24,?id22=667591,"О присвоении ISIN кода облигациям ООО ""СФО РУБИДИЙ КАПИТАЛ"", выпуск 6-02-00819-R",2024,12
136,2024-12-24,?id22=667585,"О присвоении ISIN кода облигациям АО ""ИНК-Капитал"", выпуск 4B02-02-43073-N-001P",2024,12
137,2024-12-24,?id22=667583,"О присвоении ISIN кода облигациям ООО ""Жилой микрорайон"", выпуск 4CDE-15-00415-R-001P",2024,12
138,2024-12-24,?id22=667581,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-591-01326-B-001P",2024,12
139,2024-12-24,?id22=667579,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-590-01326-B-001P",2024,12
140,2024-12-24,?id22=667577,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-589-01326-B-001P",2024,12
141,2024-12-24,?id22=667575,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-588-01326-B-001P",2024,12
142,2024-12-24,?id22=667573,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-587-01326-B-001P",2024,12
143,2024-12-24,?id22=667571,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-586-01326-B-001P",2024,12
144,2024-12-24,?id22=667569,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-585-01326-B-001P",2024,12
145,2024-12-24,?id22=667567,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-584-01326-B-001P",2024,12
146,2024-12-24,?id22=667565,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-583-01326-B-001P",2024,12
147,2024-12-24,?id22=667563,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-582-01326-B-001P",2024,12
148,2024-12-24,?id22=667561,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-581-01326-B-001P",2024,12
149,2024-12-24,?id22=667559,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-580-01326-B-001P",2024,12
150,2024-12-24,?id22=667557,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-579-01326-B-001P",2024,12
151,2024-12-24,?id22=667555,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-578-01326-B-001P",2024,12
152,2024-12-24,?id22=667553,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-577-01326-B-001P",2024,12
153,2024-12-24,?id22=667551,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-576-01326-B-001P",2024,12
154,2024-12-24,?id22=667549,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-575-01326-B-001P",2024,12
155,2024-12-24,?id22=667547,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-574-01326-B-001P",2024,12
156,2024-12-24,?id22=667545,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-573-01326-B-001P",2024,12
157,2024-12-24,?id22=667543,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-572-01326-B-001P",2024,12
158,2024-12-24,?id22=667541,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-571-01326-B-001P",2024,12
159,2024-12-24,?id22=667539,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-570-01326-B-001P",2024,12
160,2024-12-24,?id22=667537,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-569-01326-B-001P",2024,12
161,2024-12-24,?id22=667535,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-568-01326-B-001P",2024,12
162,2024-12-24,?id22=667533,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-567-01326-B-001P",2024,12
163,2024-12-24,?id22=667531,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-566-01326-B-001P",2024,12
164,2024-12-24,?id22=667529,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-565-01326-B-001P",2024,12
165,2024-12-24,?id22=667527,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-564-01326-B-001P",2024,12
166,2024-12-24,?id22=667525,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-563-01326-B-001P",2024,12
167,2024-12-24,?id22=667523,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-562-01326-B-001P",2024,12
168,2024-12-24,?id22=667521,"О присвоении ISIN кода облигациям Государственной компании ""Автодор"", выпуск 4-27-00011-T-002P",2024,12
169,2024-12-24,?id22=667519,"О присвоении ISIN кода облигациям ООО ""ЕвроСибЭнерго-Гидрогенерация"", выпуск 4B02-06-00660-R-001P",2024,12
170,2024-12-24,?id22=667517,"О присвоении ISIN кода облигациям Банк ГПБ (АО), выпуск 4B02-15-00354-B-004P",2024,12
171,2024-12-24,?id22=667515,"О присвоении ISIN кода облигациям ПАО ""АПРИ"", выпуск 4B02-08-12464-K-002P",2024,12
172,2024-12-24,?id22=667513,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-866-01000-B-005P",2024,12
173,2024-12-23,?id22=667507,"О присвоении ISIN кода облигациям ООО ""СОПФ ДОМ.РФ"", выпуск 4-11-00598-R-001P",2024,12
174,2024-12-23,?id22=667505,"О присвоении ISIN кода облигациям ПАО ""Россети Московский регион"", ПАО ""Россети МР"", выпуск 4B02-08-65116-D-001P",2024,12
175,2024-12-23,?id22=667497,"О присвоении ISIN кода облигациям АО ""ХК ""МЕТАЛЛОИНВЕСТ"", выпуск 4B02-09-25642-H-001P",2024,12
176,2024-12-23,?id22=667491,"О присвоении ISIN кода облигациям АО ""ЭР-Телеком Холдинг"", выпуск 4B02-07-53015-K-002P",2024,12
177,2024-12-23,?id22=667489,"О присвоении ISIN кода облигациям ООО ""МИРРИКО"", выпуск 4B02-02-00153-L-001P",2024,12
178,2024-12-23,?id22=667487,"О присвоении ISIN кода облигациям ООО ""ДельтаЛизинг"", выпуск 4CDE-01-00154-L",2024,12
179,2024-12-23,?id22=667485,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-865-01000-B-005P",2024,12
180,2024-12-20,?id22=667479,"О присвоении ISIN кода облигациям Департамента финансов Томской области, выпуск RU36073TMS0",2024,12
181,2024-12-20,?id22=667477,"О присвоении ISIN кода облигациям АО ""Созидание"", выпуск 4CDE-01-72135-H",2024,12
182,2024-12-20,?id22=667471,"О присвоении ISIN кода облигациям Государственной компании ""Автодор"", выпуск 4-13-00011-T-004P",2024,12
183,2024-12-20,?id22=667465,"О присвоении ISIN кода облигациям ООО ""Мираторг Финанс"", выпуск 4B02-02-36276-R-001P",2024,12
