,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
10,RU000A107B35,30 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии Б-1-346,Бездокументарная,С централизованным учетом,4B02-346-01000-B-001P,23 ноября 2023 г.,1 000.00,Рубли,1 декабря 2026 г.,,,,,,,,
11,RU000A107AW3,30 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Аэрофьюэлз""",7714216826,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 002Р-02,Бездокументарная,С централизованным учетом,4B02-02-29449-H-002P,23 ноября 2023 г.,1 000.00,Рубли,27 ноября 2026 г.,,,,,,,,
12,RU000A107B01,30 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-601,Бездокументарная,С централизованным учетом,4B02-601-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,2 декабря 2023 г.,,,,,,,,
13,RU000A107AL6,29 ноября 2023 г.,Параметры ценной бумаги (выпуска),"акционерное общество ""Государственная транспортная лизинговая компания""",7720261827,Облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 003Р-04,Бездокументарная,С централизованным учетом,4-04-32432-H-001P,26 июня 2023 г.,1 000.00,Рубли,30 ноября 2043 г.,,,,,,,,
14,RU000A107AN2,29 ноября 2023 г.,Параметры ценной бумаги (выпуска),"акционерное общество ""Государственная транспортная лизинговая компания""",7720261827,Облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 003Р-05,Бездокументарная,С централизованным учетом,4-05-32432-H-001P,26 июня 2023 г.,1 000.00,Рубли,30 ноября 2035 г.,,,,,,,,
15,RU000A107AQ5,29 ноября 2023 г.,Параметры ценной бумаги (выпуска),"акционерное общество ""Государственная транспортная лизинговая компания""",7720261827,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии ЗО26-Д,Бездокументарная,С централизованным учетом,4-05-32432-H,16 ноября 2023 г.,1 000.00,Доллар США,18 февраля 2026 г.,,,,,,,,
16,RU000A107AV5,29 ноября 2023 г.,Параметры ценной бумаги (выпуска),"государственная корпорация развития ""ВЭБ.РФ""",7750004150,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ПБО-002Р-К465,Бездокументарная,С централизованным учетом,4B02-07-00004-T-002P,15 ноября 2023 г.,1 000.00,Рубли,28 февраля 2024 г.,,,,,,,,
17,RU000A107AU7,29 ноября 2023 г.,Параметры ценной бумаги (выпуска),"государственная корпорация развития ""ВЭБ.РФ""",7750004150,Биржевые зеленые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ПБО-002Р-39,Бездокументарная,С централизованным учетом,4B02-12-00004-T-002P,27 ноября 2023 г.,1 000.00,Рубли,23 мая 2030 г.,,,,,,,,
18,RU000A107AM4,29 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 002Р-25,Бездокументарная,С централизованным учетом,4B02-25-01326-B-002P,27 ноября 2023 г.,1 000.00,Рубли,26 ноября 2026 г.,,,,,,,,
19,RU000A107AS1,29 ноября 2023 г.,Параметры ценной бумаги (выпуска),"""Газпромбанк"" (Акционерное общество)",7744001497,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 004P-01,Бездокументарная,,4B02-01-00354-B-004P,23 ноября 2023 г.,,Рубли,,,,,,,,,
20,RU000A107AK8,28 ноября 2023 г.,Параметры ценной бумаги (выпуска),"государственная корпорация развития ""ВЭБ.РФ""",7750004150,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ПБО-002Р-К464,Бездокументарная,С централизованным учетом,4B02-06-00004-T-002P,15 ноября 2023 г.,1 000.00,Рубли,27 февраля 2024 г.,,,,,,,,
21,RU000A107AJ0,28 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ИКС 5 ФИНАНС""",7715630469,Бездокументарные процентные неконвертируемые биржевые облигации с обеспечением с централизованным учетом прав серии 003Р-03,Бездокументарная,С централизованным учетом,4B02-03-36241-R-003P,24 ноября 2023 г.,,Рубли,,,,,,,,,
22,RU000A107AG6,28 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Россети Центр""",6901067107,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-03,Бездокументарная,С централизованным учетом,4B02-03-10214-A-001P,27 ноября 2023 г.,,Рубли,,,,,,,,,
23,RU000A107AB7,28 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Нерюнгри-Металлик""",1434024359,Облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ЗО-2024,Бездокументарная,С централизованным учетом,4-01-00745-R,26 октября 2023 г.,1 000.00,Доллар США,9 октября 2024 г.,,,,,,,,
24,RU000A107AC5,28 ноября 2023 г.,,,,,,,,13 ноября 2023 г.,,,,Параметры ценной бумаги (пая),"Закрытый паевой инвестиционный фонд рыночных финансовых инструментов ""Заблокированные активы паевого инвестиционного фонда ""Первая - Долларовые облигации""""",закрытый,Инвестиционные паи,5780,"АО УК ""Первая""","АО ""Специализированный депозитарий ""ИНФИНИТУМ""",
25,RU000A107A77,28 ноября 2023 г.,,,,,,,,13 ноября 2023 г.,,,,Параметры ценной бумаги (пая),"Закрытый паевой инвестиционный фонд финансовых инструментов ""Заблокированные активы паевого инвестиционного фонда ""Валютные облигации""""",закрытый,Инвестиционные паи,5783-СД,"АО УК ""Первая""","АО ""Специализированный депозитарий ""ИНФИНИТУМ""",
