,date,web-link,text
106,27.12.24,?id22=667661,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-606-01326-B-001P"
107,27.12.24,?id22=667659,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-605-01326-B-001P"
108,27.12.24,?id22=667657,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-604-01326-B-001P"
109,27.12.24,?id22=667655,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-603-01326-B-001P"
110,27.12.24,?id22=667653,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-602-01326-B-001P"
111,27.12.24,?id22=667651,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-601-01326-B-001P"
112,27.12.24,?id22=667649,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-600-01326-B-001P"
113,27.12.24,?id22=667647,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-599-01326-B-001P"
114,27.12.24,?id22=667645,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-598-01326-B-001P"
115,27.12.24,?id22=667643,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-597-01326-B-001P"
116,27.12.24,?id22=667641,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-596-01326-B-001P"
117,27.12.24,?id22=667639,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-595-01326-B-001P"
118,27.12.24,?id22=667637,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-594-01326-B-001P"
119,27.12.24,?id22=667635,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-593-01326-B-001P"
120,27.12.24,?id22=667633,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-592-01326-B-001P"
121,27.12.24,?id22=667631,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-869-01000-B-005P"
122,26.12.24,?id22=667627,"О присвоении ISIN кода облигациям ООО ""Совкомбанк Факторинг"", выпуск 4B02-01-00710-R-001P"
123,26.12.24,?id22=667625,"О присвоении ISIN кода облигациям ООО ""Совкомбанк Лизинг"", выпуск 4B02-08-00303-R-001P"
124,26.12.24,?id22=667619,"О присвоении ISIN кода облигациям ООО ВТБ Факторинг, выпуск 4B02-01-00204-L"
125,26.12.24,?id22=667617,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-868-01000-B-005P"
126,25.12.24,?id22=667611,"О присвоении ISIN кода облигациям ПАО ""Группа Позитив"", выпуск 4B02-02-85307-H-001P"
127,25.12.24,?id22=667609,"О присвоении ISIN кода облигациям ООО ""РЕСО-Лизинг"", выпуск 4B02-23-36419-R-001P"
128,25.12.24,?id22=667607,"О присвоении ISIN кода облигациям ООО ""Новые технологии"", выпуск 4B02-01-00069-L-001P"
129,25.12.24,?id22=667605,"О присвоении ISIN кода облигациям ООО ""Новые технологии"", выпуск 4B02-02-00069-L-001P"
130,25.12.24,?id22=667603,"О присвоении ISIN кода облигациям ПАО ""МТС"", выпуск 4CDE-02-04715-A-001P"
131,25.12.24,?id22=667601,"О присвоении ISIN кода облигациям ПАО ""Кокс"", выпуск 4B02-01-10799-F-001P"
132,25.12.24,?id22=667599,"О присвоении ISIN кода облигациям ООО ""ИКС 5 ФИНАНС"", выпуск 4B02-07-36241-R-003P"
133,25.12.24,?id22=667597,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-867-01000-B-005P"
134,24.12.24,?id22=667593,"О присвоении ISIN кода облигациям ООО ""СФО Силуэт"", выпуск 6-01-00844-R"
135,24.12.24,?id22=667591,"О присвоении ISIN кода облигациям ООО ""СФО РУБИДИЙ КАПИТАЛ"", выпуск 6-02-00819-R"
136,24.12.24,?id22=667585,"О присвоении ISIN кода облигациям АО ""ИНК-Капитал"", выпуск 4B02-02-43073-N-001P"
137,24.12.24,?id22=667583,"О присвоении ISIN кода облигациям ООО ""Жилой микрорайон"", выпуск 4CDE-15-00415-R-001P"
138,24.12.24,?id22=667581,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-591-01326-B-001P"
139,24.12.24,?id22=667579,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-590-01326-B-001P"
140,24.12.24,?id22=667577,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-589-01326-B-001P"
